PG.ProteinGroups,PG.Genes,[1] Day0_1.raw.PG.Quantity,[2] Day0_2.raw.PG.Quantity,[3] Day0_3.raw.PG.Quantity,[4] Day0_4.raw.PG.Quantity,[5] Day0_5.raw.PG.Quantity,[6] Day0_6.raw.PG.Quantity,[7] Day28_1.raw.PG.Quantity,[8] Day28_2.raw.PG.Quantity,[9] Day28_3.raw.PG.Quantity,[10] Day28_4.raw.PG.Quantity,[11] Day28_5.raw.PG.Quantity,[12] Day28_6.raw.PG.Quantity,[13] Day03_1.raw.PG.Quantity,[14] Day03_2.raw.PG.Quantity,[15] Day03_3.raw.PG.Quantity,[16] Day03_4.raw.PG.Quantity,[17] Day03_5.raw.PG.Quantity,[18] Day03_6.raw.PG.Quantity,[19] Day07_1.raw.PG.Quantity,[20] Day07_2.raw.PG.Quantity,[21] Day07_3.raw.PG.Quantity,[22] Day07_4.raw.PG.Quantity,[23] Day07_5.raw.PG.Quantity,[24] Day07_6.raw.PG.Quantity,[25] Day10_1.raw.PG.Quantity,[26] Day10_2.raw.PG.Quantity,[27] Day10_3.raw.PG.Quantity,[28] Day10_4.raw.PG.Quantity,[29] Day10_5.raw.PG.Quantity,[30] Day10_6.raw.PG.Quantity,[31] Day14_1.raw.PG.Quantity,[32] Day14_2.raw.PG.Quantity,[33] Day14_3.raw.PG.Quantity,[34] Day14_4.raw.PG.Quantity,[35] Day14_5.raw.PG.Quantity,[36] Day14_6.raw.PG.Quantity,[37] Day21_1.raw.PG.Quantity,[38] Day21_2.raw.PG.Quantity,[39] Day21_3.raw.PG.Quantity,[40] Day21_4.raw.PG.Quantity,[41] Day21_5.raw.PG.Quantity,[42] Day21_6.raw.PG.Quantity
A0A024QZ33;K7ERM9;Q9H0G5,NSRP1,9628.249023,6686.357422,7259.084473,8297.918945,7621.686523,7817.337891,NaN,NaN,NaN,NaN,NaN,NaN,9827.833008,11644.5166,6331.762695,8927.326172,11103.20313,7867.551758,NaN,955.9926758,NaN,1657.87207,2820.775635,2974.371338,487.5219727,534.8139038,882.7861938,1659.598511,524.0603638,295.5096741,NaN,1.060667515,828.7576904,NaN,NaN,NaN,NaN,407.2420044,NaN,NaN,493.5811768,NaN
A0A024QZX5;A0A087X1N8;P35237,SERPINB6,19119.48438,18445.92383,16810.18555,22061.10742,20469.24219,17729.54883,19790.27344,21757.02539,19806.41016,25100.63477,20489.45703,24961.50391,9362.416016,11255.3916,12700.2959,10661.94629,13553.10254,12748.11426,5392.578125,3636.643066,8091.400391,7517.003418,8079.334961,6254.876953,8624.751953,8022.952148,6813.120117,6625.244141,8344.269531,7880.016113,8622.095703,8626.768555,7594.026367,9446.992188,9296.90332,8496.442383,14787.96387,11354.5293,13371.96875,13669.08887,10620.80762,12407.8877
A0A024R0Y4;A0A087WWR4,TADA2A,8839.832031,4004.256592,3035.970459,3370.621582,2346.104492,1683.649414,11918.05664,NaN,12656.46191,2884.017578,NaN,14570.35352,5207.182129,9212.338867,12312.08008,2555.108887,1773.388306,2462.320557,3423.32959,2477.318115,2493.810547,7316.018066,5314.581055,4174.254395,5794.543457,6226.443848,NaN,3186.692871,1783.408936,788.5897217,NaN,2944.910156,1932.292603,1739.068237,655.1085205,13075.85059,4440.433594,2548.673096,3386.676514,540.5782471,7929.514648,NaN
A0A024R3B9;E9PJL7;E9PNH7;E9PRA8;P02511,CRYAB,977.3361816,NaN,257.2880249,959.0761108,436.2183533,779.3267212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26755.03711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0A024R4E5,HDLBP,309493.6563,320247.6875,310978.125,298463.4063,293230.2813,304254.2188,93748.42969,100757.4688,101649.4922,86770.79688,104998.2188,94153.71875,239462.1719,235374.2031,238636.6094,244907.2188,250013.0938,219147.7656,129529.4375,121479.375,124665.2188,126294.1563,123647.9297,136328.1719,129627.1797,129584.3125,129433.9219,130552.2344,141858.375,132442.5625,112975.5703,112450.0781,121808.9063,107514.3594,109628.1328,108909.625,99974.14844,103692.6094,107054.25,106284.4688,105289.2031,111994.2813
A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8,TMEM120A,12352.08691,16748.63086,15334.9375,25709.89453,14258.71387,23378.30078,62141.1875,59122.9375,74967.01563,46983.67578,68518.5,60710.53516,12814.94043,13108.41113,16340.18848,5880.360352,6669.895508,12939.44922,78987.53906,25832.88867,37228.55859,45712.09766,37579.17969,37356.4375,42568.67578,49569.02344,56259.83203,28226.9082,35254.62891,40350.70313,43921.65234,41140.42969,61837.01172,46242.02734,43612.96484,46759.25781,47777.24219,42245.80469,35283.97656,51063.5625,54864.32031,56450.51953
A0A024R571;Q9H4M9,EHD1,110907.6953,112952.4219,113355.1953,102529.9063,111285.7422,110644.5391,390886.1875,395162.5938,405020.9375,437026.2813,446137,425369.9063,75624.42188,76624.17969,85111.11719,79455.67969,78392.91406,89287.82813,167541.3594,154849.25,170584.7813,154577.9688,153667.8281,154819.9219,255525.3438,256445.7188,258981.2969,262514.7188,275482.9688,267495.1875,294468.9063,296859.5938,306189.5938,312913.0625,314477.5,309153.3125,345334,347452.1875,351444.125,350626.125,346731.375,359542.5625
A0A024R644;A0A1B0GWI2;O75503,CLN5,27771.08594,18332.66406,24692.07227,23383.75391,25567.24805,17308.3457,34472.17578,39969.11719,39571.41406,42531.13281,48530.11719,46738.80078,29221.86328,30980.02344,35020.92969,15750.61133,28046.52148,45167.80078,45869.33984,17998.21289,50379.46484,46329.14844,48177.16406,34125.69141,57808.39453,59652.32422,45393.28906,56297.51172,62296.59766,44842.75,59464.80469,56120.75781,49396.02344,54352.89844,55294.13672,57585.99219,40759.83984,36309.66016,40632.48828,40394.19141,51007.53516,42095.42188
A0A024R7N8;P27539,CERS1;GDF1,2068.858154,610.4669189,593.9938965,2584.988525,2194.879395,1184.190552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,284.0834351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0A024RA52;P25787,PSMA2,111774.8203,204844.75,176028.0469,117974.6406,167084.4375,181514.5469,172093.4063,176997.7031,140952.0625,175734.4375,148230.375,171651.6875,132385.0469,161643.1875,160418.5781,152789.3125,95249.21094,181698.8438,129502.4609,105212.0625,132994.9844,126058.9844,127263.75,106066.4453,132010.3281,157409.4063,130761.3047,157744.7813,89700.10156,151127.1406,146062.7813,144517.6563,144553.6094,166230.1719,163887.9375,136930.0625,150199.7656,151722.1875,149491.4531,145864.5469,131955.9063,132168.25
